env_type;sex_type;init_p_sex;grid_size;patches;p_e_change;e_step;min_env;max_env;m;rho;dims;sigma_e;microsites;d;r;demogr_cost;traits;trait_loci;sex_loci;sigma_z;mu;mu_sex;omega_e;run;time;patch;N;p_sex_mean;p_sex_var;fitness_mean;fitness_var;abs_fitness_mean;load_mean;load_var;S_mean;S_var;residence_distinct;residence_div;distinct_pop;div_pop;dim_tr1;e_dim_tr1;genotype_mean_tr1;genotype_var_tr1;phenotype_mean_tr1;phenotype_var_tr1;fitness_mean_tr1;fitness_var_tr1;genotype_meta_var_tr1;phenotype_meta_var_tr1;dim_tr2;e_dim_tr2;genotype_mean_tr2;genotype_var_tr2;phenotype_mean_tr2;phenotype_var_tr2;fitness_mean_tr2;fitness_var_tr2;genotype_meta_var_tr2;phenotype_meta_var_tr2
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;0;1;600;0.000000;0.000000;0.057772;0.028795;0.057443;0.942228;0.028795;0.032883;0.000000;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.613333;0.012306;0.613190;0.012439;0.234425;0.119053;0.011348;0.011492;1;0.606909;0.605000;0.013233;0.604966;0.013175;0.260093;0.130674;0.012193;0.012220
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;0;2;600;0.000000;0.000000;0.071165;0.031095;0.070361;0.928835;0.031095;0.017222;0.000000;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.605417;0.010791;0.605215;0.010982;0.279833;0.132100;0.011348;0.011492;1;0.606909;0.604833;0.012252;0.604227;0.012200;0.250976;0.120863;0.012193;0.012220
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;0;3;600;0.000000;0.000000;0.062362;0.031190;0.061909;0.937638;0.031190;0.026593;0.000000;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.603833;0.011610;0.603961;0.011623;0.257548;0.126189;0.011348;0.011492;1;0.606909;0.608500;0.010253;0.608899;0.010410;0.265859;0.129611;0.012193;0.012220
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;0;4;600;0.000000;0.000000;0.058423;0.028380;0.056801;0.941577;0.028380;0.034973;0.000003;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.605333;0.010630;0.605206;0.010871;0.265474;0.130758;0.011348;0.011492;1;0.606909;0.608750;0.013019;0.609188;0.013073;0.230218;0.116399;0.012193;0.012220
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1;1;216;0.000000;0.000000;0.511548;0.107545;0.511453;0.488452;0.107545;0.160658;0.000070;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.611343;0.000438;0.612571;0.000504;0.792394;0.070884;0.000928;0.000961;1;0.606909;0.608102;0.001034;0.609324;0.001042;0.651293;0.114016;0.000801;0.000876
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1;2;246;0.000000;0.000000;0.457319;0.109081;0.454063;0.542681;0.109081;0.052708;0.000001;1.000000;1.000000;2.000000;1.049969;1;0.606909;0.606301;0.001068;0.605726;0.001157;0.638125;0.115635;0.000928;0.000961;1;0.606909;0.606707;0.000758;0.606996;0.000847;0.717056;0.104614;0.000801;0.000876
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1;3;228;0.000000;0.000000;0.512750;0.128596;0.512588;0.487250;0.128596;0.074491;0.000009;1.000000;1.000000;2.000000;1.035703;1;0.606909;0.607895;0.001253;0.608190;0.001210;0.673254;0.117419;0.000928;0.000961;1;0.606909;0.603728;0.000655;0.604120;0.000717;0.759474;0.097070;0.000801;0.000876
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1;4;234;0.000000;0.000000;0.487417;0.113897;0.484704;0.512583;0.113897;0.035372;0.000001;1.000000;1.000000;1.000000;1.000000;1;0.606909;0.609615;0.000901;0.609353;0.000909;0.685555;0.106169;0.000928;0.000961;1;0.606909;0.605128;0.000764;0.605289;0.000893;0.715150;0.108816;0.000801;0.000876
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1000;1;600;0.000000;0.000000;0.889895;0.008842;0.889819;0.110105;0.008842;0.043595;0.000000;1.000000;1.000000;62.000000;17.860687;1;0.546909;0.550000;0.000000;0.551832;0.000073;0.943664;0.004884;0.000000;0.000072;1;0.546909;0.550000;0.000000;0.552072;0.000072;0.943037;0.005168;0.000000;0.000070
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1000;2;600;0.000000;0.000000;0.899087;0.007602;0.899071;0.100913;0.007602;0.039393;0.000000;1.000000;1.000000;64.000000;25.273799;1;0.546909;0.550000;0.000000;0.551049;0.000070;0.949103;0.003838;0.000000;0.000072;1;0.546909;0.550000;0.000000;0.552031;0.000065;0.947099;0.004321;0.000000;0.000070
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1000;3;600;0.000000;0.000000;0.892905;0.009050;0.892687;0.107095;0.009050;0.040784;0.000000;1.000000;1.000000;71.000000;15.420200;1;0.546909;0.550000;0.000000;0.551768;0.000072;0.944703;0.004983;0.000000;0.000072;1;0.546909;0.550000;0.000000;0.551692;0.000073;0.944543;0.004467;0.000000;0.000070
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;1000;4;600;0.000000;0.000000;0.892523;0.008169;0.892408;0.107477;0.008169;0.045126;0.000000;1.000000;1.000000;68.000000;15.209125;1;0.546909;0.550000;0.000000;0.552358;0.000070;0.942915;0.005065;0.000000;0.000072;1;0.546909;0.550000;0.000000;0.551826;0.000068;0.946330;0.003911;0.000000;0.000070
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;2000;1;600;0.000000;0.000000;0.891699;0.011155;0.891589;0.108301;0.011155;0.046522;0.000000;1.000000;1.000000;67.000000;16.491067;1;0.506909;0.500083;0.000004;0.503569;0.000085;0.946217;0.006016;0.000003;0.000089;1;0.506909;0.500000;0.000000;0.503050;0.000087;0.942168;0.006234;0.000001;0.000087
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;2000;2;600;0.000000;0.000000;0.886359;0.011678;0.886213;0.113641;0.011678;0.045401;0.000000;1.000000;1.000000;49.000000;5.378593;1;0.506909;0.500000;0.000000;0.502657;0.000090;0.938744;0.006190;0.000003;0.000089;1;0.506909;0.500083;0.000004;0.503721;0.000091;0.943804;0.006551;0.000001;0.000087
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;2000;3;600;0.000000;0.000000;0.884813;0.011746;0.884749;0.115187;0.011746;0.049772;0.000000;1.000000;1.000000;61.000000;11.703511;1;0.506909;0.500083;0.000004;0.502851;0.000099;0.935715;0.008083;0.000003;0.000089;1;0.506909;0.500000;0.000000;0.503416;0.000083;0.945362;0.004785;0.000001;0.000087
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;2000;4;600;0.000000;0.000000;0.893829;0.009925;0.893618;0.106171;0.009925;0.044239;0.000000;1.000000;1.000000;56.000000;10.437203;1;0.506909;0.500083;0.000004;0.503797;0.000081;0.948164;0.005120;0.000003;0.000089;1;0.506909;0.500000;0.000000;0.503021;0.000086;0.941990;0.005439;0.000001;0.000087
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;3000;1;600;0.000000;0.000000;0.892720;0.009998;0.892705;0.107280;0.009998;0.049837;0.000000;1.000000;1.000000;64.000000;8.038585;1;0.446909;0.450083;0.000004;0.452117;0.000071;0.943085;0.004613;0.000001;0.000075;1;0.446909;0.450167;0.000008;0.451224;0.000078;0.946294;0.006164;0.000002;0.000073
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;3000;2;600;0.000000;0.000000;0.886496;0.009058;0.885983;0.113504;0.009058;0.042022;0.000000;1.000000;1.000000;61.000000;3.293205;1;0.446909;0.450000;0.000000;0.452138;0.000076;0.940498;0.005393;0.000001;0.000075;1;0.446909;0.450000;0.000000;0.452010;0.000074;0.942139;0.004944;0.000002;0.000073
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;3000;3;600;0.000000;0.000000;0.888538;0.008850;0.888529;0.111462;0.008850;0.042625;0.000000;1.000000;1.000000;62.000000;11.542901;1;0.446909;0.450000;0.000000;0.452037;0.000073;0.943135;0.005556;0.000001;0.000075;1;0.446909;0.450000;0.000000;0.452230;0.000071;0.942320;0.004721;0.000002;0.000073
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;3000;4;600;0.000000;0.000000;0.890376;0.008458;0.890185;0.109624;0.008458;0.034628;0.000000;1.000000;1.000000;61.000000;7.159620;1;0.446909;0.450000;0.000000;0.451803;0.000079;0.941242;0.005404;0.000001;0.000075;1;0.446909;0.450000;0.000000;0.451732;0.000070;0.945931;0.004205;0.000002;0.000073
REGIONAL;SWITCH;0.000000;2;4;0.100000;0.010000;0.200000;0.800000;0.010000;1.000000;1;0.000000;600;0.050000;5.000000;0.500000;2;20;10;0.010000;0.000100;0.000010;0.020000;1;4000;1;600;0.000000;0.000000;0.639941;0.043776;0.639771;0.360059;0.043776;0.042543;0.000001;1.000000;1.000000;27.000000;4.311067;1;0.366909;0.361583;0.000453;0.362084;0.000436;0.780598;0.034946;0.000364;0.000369;1;0.366909;0.353583;0.000183;0.355896;0.000249;0.816780;0.029189;0.000286;0.000330
